Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Africa Eastern and Southern,AFE,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.54391605,,,,,,,,,,23.75982289,23.71369697,25.46955665,23.42334844,25.10017053,25.01732793,23.9471499,22.85437254,24.55555869,24.10949249,25.29930976,,,
Africa Western and Central,AFW,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.90082935,23.56548611,,,,,,,
Caribbean small states,CSS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.50055732,22.69039344,22.44134261,22.27978061,21.8204828,25.00329081,22.94737067,24.83543385,29.52244022,27.0423939,25.48691882,25.9358938,25.76893698,26.41425658,27.71026281,28.03019419,27.79334449,26.68854411,27.97919054,,,
Central Europe and the Baltics,CEB,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11228656,41.91590702,42.59292742,39.44840579,39.06176434,39.23944154,38.79875862,38.62052763,38.64431678,38.57560225,36.6900881,35.94798103,35.60181383,34.90896988,35.59911204,38.28495874,37.87911714,36.91193825,36.69824997,37.36285485,36.81441803,36.06180512,35.94176192,34.95708377,34.54697927,35.07626434,40.86020226,38.89495004,
Early-demographic dividend,EAR,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.94435786,15.55876721,16.0443634,16.02400705,15.64413667,16.39015529,16.97321408,17.70309089,16.66014949,,,,,,,,,,,,,20.16591354,20.84167846,21.27235763,21.34246367,21.49241906,21.02164786,20.89892964,21.18492695,,,,
East Asia & Pacific,EAS,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (IDA & IBRD countries),TEA,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euro area,EMU,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,,,,,,,,,,,,,22.98658371,24.48755735,25.62786748,28.32435149,28.39573619,28.85616523,30.00794383,30.53685496,31.80827385,31.78243245,33.08726975,33.25438233,33.43803341,33.68108341,35.5003943,35.84631014,34.52329142,33.97730085,34.18590238,36.83087108,38.0900884,39.43947698,38.87147965,43.96160042,41.37555956,40.51027152,39.09238354,38.79935768,37.912435,37.88000883,38.1345766,38.49744099,37.7909254,37.91238476,37.33876932,36.59014638,37.3694243,40.6862738,41.15592829,39.45952947,39.62355219,39.51240181,39.04760316,38.3565584,37.91144621,37.51776243,37.17816352,37.09411283,43.03408415,41.82178853,
